Business Name,Building,Workers,Category,Information,Website
Bike New York,88,30,Education & Nonprofit, A nonprofit organization dedicated to promoting bicycling and bicycle safety through education, community outreach, and events.,https://www.bike.nyc/
Brooklyn Book Bodega,77,5,Education & Nonprofit,Brooklyn Book Bodega provides access to and ownership of books, builds community, and creates a passion for learning through free events and literacy-based community programming.,https://www.brooklynbookbodega.org/book-drop-location
Brooklyn Greenway Initiative,100,7,Education & Nonprofit,"Contracting & Construction, public space",https://www.brooklyngreenway.org/
"Brooklyn Workforce Innovations (Leap, Inc)",92,16,Education & Nonprofit,"Employment Center, Job Training",https://bwiny.org/?gclid=EAIaIQobChMInfnjz8iTgAMVirbICh2Jqw5gEAAYASAAEgKjivD_BwE
BTFA Collective,77,1,Education & Nonprofit,"Arts, LGBTQIA",https://www.btfacollective.org/
Dieu Donne,88,11,Education & Nonprofit,Papermaking education and collective,https://www.dieudonne.org/
HITN Inc.,33,49,Education & Nonprofit,A & H C Designs Corp,https://www.hitn.org/
Little Essentials,240,3,Education & Nonprofit,"Clothing, Maternity and Baby Goods",https://www.littleessentials.org/
Terreform ONE,212,11,Education & Nonprofit,"501c3; Art, Architecture, and Urban Design research group, Sustainability",https://www.terreform.org/
Adam Elstein Studio,77,1,Fine Art & Photography,"Architectural photographer, Pratt Adjunct Professor",https://www.adamelstein.com/
Alsop Studios,77,2,Fine Art & Photography,"Photography, Commercial Art, Product Photography",https://www.linkedin.com/in/ben-alsop-51303292/
Alyson Shotz Studio LLC,240,1,Fine Art & Photography,Fine art,https://www.google.com/search?q=alyson+shotz&rlz=1C1VDKB_enUS1120US1120&oq=alyson+shotz&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7MgYIARBFGEAyBggCEEUYPNIBCDE5MzVqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8
Andrea Rosen Gallery Inc.,140,2,Fine Art & Photography,Artist Rep,https://www.andrearosengallery.com/
Anne Ballard Peabody,77,16,Fine Art & Photography,"Sculpture, Installation, Drawing, Performance Art",https://www.annepeabody.com/
Anne Collier,140,3,Fine Art & Photography,"Photography, High Profile",https://en.wikipedia.org/wiki/Anne_Collier
Area 1202,140,77,Fine Art & Photography,"Photography, Video, Commercial Art, Fashion",http://www.area1202.com/
Barbara Gallucci,97,2,Fine Art & Photography,"Sculpture, Installation, Photography, Design",https://www.barbaragallucci.com/
Ben Thorp Brown,88,1,Fine Art & Photography,Photgraphy studio,https://www.benthorpbrown.com/
Beth Campbell Studio,88,1,Fine Art & Photography,"Sculpture, Ceramics, Object Work",https://bethcampbellstudio.com/
BREAKFAST,303,22,Fine Art & Photography,"Tech Art, Climate",https://breakfaststudio.com/
Brooklyn Clay Industries,103,4,Fine Art & Photography,Pottery Studio,https://www.brooklynclayindustries.com/
Cameron Martin,209,1,Fine Art & Photography,Digital Painting,http://www.cameronmartin.info/
Candace Howe Studios,77,4,Fine Art & Photography,"Photography, Commercial Art, Portraits, Maternity",https://candacehowestudios.com/
Cason Latimer Studio,212,6,Fine Art & Photography,"Photography, Video, Commerical Product Photography",https://casonlatimer.com/
Cecilia Ruiz,103,1,Fine Art & Photography,Illustration,https://www.ceciliaruiz.com/
Chalet Studio (Travis Rathbone Studio),303,8,Fine Art & Photography,"Photography, Commercial Art, Product Photography",https://www.travisrathbone.com/
Charline Von Heyl,88,3,Fine Art & Photography,Painting,https://en.wikipedia.org/wiki/Charline_von_Heyl
Charlotta Westergren,103,1,Fine Art & Photography,"Painting, Sculpture",https://charlottawestergren.com/
Chelsie Craig,77,1,Fine Art & Photography,"Photography, Commercial Art, Product Photography",https://chelsiecraig.studio/
Claudio F. D'Alberti,240,2,Fine Art & Photography,Painting,https://www.instagram.com/claudiodart/
Conjunction Arts (Collaborative Urban Sculpture),209,1,Fine Art & Photography,Artist Collective,https://conjunctionarts.com/
Dan Roth Studio,77,1,Fine Art & Photography,Sculpture,https://www.danrothstudio.com/
Dennis Kardon Studio (811 Studio),88,4,Fine Art & Photography,"Painting, Writer & Critic, Sculpture, Multi-Media, Sculpture, High-Profile",https://www.denniskardon.com/
Donovan Studios,212,6,Fine Art & Photography,"Sculpture, High-Profile",https://en.wikipedia.org/wiki/Tara_Donovan
Downing Frames,303,26,Fine Art & Photography,Frames,https://downingframes.com/
Duke Riley,344,1,Fine Art & Photography,"Sculpture, Mosaic, Multimedia, Performance, High-Profile",http://www.dukeriley.info/
Dwight Cassin,240,1,Fine Art & Photography,Video Production and Sculpture,
Elizabeth Yamin,103,1,Fine Art & Photography,Painting,https://www.elizabethyamin.net/
Eric Forman Studio,100,4,Fine Art & Photography,Installation,https://www.ericforman.com/
Eve Havlicek & Marco Lopez Arias,97,3,Fine Art & Photography,Drawing,https://www.linkedin.com/in/eve-havlicek-40b2262b/
Fig House Studios,88,11,Fine Art & Photography,"Fine Art Frames, Stretchers, Crates",https://www.fighousestudios.org/
Flowerbox Films LLC,212,2,Fine Art & Photography,Film equipment rental and film studio,https://www.flowerboxfilms.com/
Frank C Benson,77,1,Fine Art & Photography,,https://www.frankbenson.info/
Gedi Sibony (the Toothfinder),33,5,Fine Art & Photography,"Sculpture, Painting, High Profile",https://www.greenenaftaligallery.com/artists/gedi-sibony
George Laws Weinberg,77,1,Fine Art & Photography,Mixed Media,"https://primo.getty.edu/primo-explore/fulldisplay?vid=GRI&tab=all_gri&docid=GETTY_ALMA21131174710001551&lang=en_US&context=L&query=creator,exact,Nauman,%20Bruce,%201941-"
Glenn Ligon Studio (GKL Studio),212,4,Fine Art & Photography,"Sculpture, Installation, Video, Painting, High-Profile",https://www.glennligonstudio.com/
Greg Chann,86,1,Fine Art & Photography,Sculpture,https://www.instagram.com/grgchnn/
Gus Powell  (Sunny Sixteen),140,1,Fine Art & Photography,"Photography, Commercial Art, Fashion, Commercial Director",http://www.guspowell.com/
Hans Neumann,140,1,Fine Art & Photography,"Photography, Commercial Art",https://hansneumannphotography.com/
Heather Rowe Studio,240,2,Fine Art & Photography,"Sculpture, Installation",http://heatherrowestudio.com/
Hyesu Lee Illustration,103,2,Fine Art & Photography,"Illustration, Comic Artist",http://www.heyheysu.com/
Ivy Haldeman,140,1,Fine Art & Photography,Painting,https://www.instagram.com/that_ivy/
Jackie Meier Studio,240,2,Fine Art & Photography,Painting,https://www.instagram.com/jacqmeier/?hl=en
Jarel Phifer,77,1,Fine Art & Photography,Musician?,https://www.soundclick.com/jarelphifer
Jason Krugman Studio,212,6,Fine Art & Photography,"Sculpture, Lighting",http://www.jasonkrugman.com/
JJ Snyder Studio,209,15,Fine Art & Photography,Interior finishes and murals,https://jjsnyderstudio.com/
Joe Bradley Studio,86,1,Fine Art & Photography,"Painting, Commercial Art ",https://www.josephbradleystudio.com/
Joel Longenecker (& Carleen Sheehan),97,1,Fine Art & Photography,Painting,http://www.joellongenecker.com/
John Clement Studio,88,1,Fine Art & Photography, The exploration of how materials move through art and how, through them, we are moved.,https://johnclementstudio.com/
John McDevitt King Studio,70,1,Fine Art & Photography,"Painting, Printmaking, Gemology",https://www.johnmcdevittking.net/
Jon Black (A+),77,1,Fine Art & Photography,"Architecturally informed Sound Artist, Audio",https://www.linkedin.com/in/jon-black-263a78154/?locale=en_US
Joseph Peller Studio (Dragonfly Studios),86,12,Fine Art & Photography,"Painting, Sculpture, Printmaking",https://www.josephpeller.com/index.php
Juan E Gomez,240,4,Fine Art & Photography,Painting,https://www.juaneduardogomez.com/
Juanita Berrio Lesmes and Jose Berrio Lesmes,140,2,Fine Art & Photography,"Illustration, Graphic Design",https://www.instagram.com/joseberriolesmes/?hl=en
Julia Rommel Studio,77,1,Fine Art & Photography,Painting,
Juliana Cerqueira Leite,77,2,Fine Art & Photography,Sculpture,https://www.julianacerqueiraleite.com/
Julie Ryan,103,1,Fine Art & Photography,"Painting, Illustration",https://www.instagram.com/lakejulieryan/?hl=en
KaiKai Kiki New York,77,1,Fine Art & Photography,Fine Art & Photography,http://en.gallery-kaikaikiki.com/about/
Karen Schifano Art,140,1,Fine Art & Photography,Painting,https://www.karenschifano.com/
Kate Quarfordt,77,2,Fine Art & Photography,"Painting, Collage, Mixed Media",http://www.katequarfordt.com/
Kathryn Robinson-Millen Ceramics,240,1,Fine Art & Photography,Sculpture,http://www.kathrynrmdesign.com/
Kickie Chudikova Studio,100,3,Fine Art & Photography,"Product Design, Furniture Design",https://www.kickiechudikova.com/
Kimmy Quilin,240,1,Fine Art & Photography,Painting,https://www.kimmyquillin.com/
Lara Callahan Corp,77,5,Fine Art & Photography,"Photography, Commercial Art, Fashion",https://www.laracallahan.com/
Launa Eddy,86,1,Fine Art & Photography,"Sculpture, Painting, Drawing, Sets",https://www.launaeddy.com/
Ligorano Reese,97,4,Fine Art & Photography,"Tech Art, Installation, Video, Public Art",https://ligoranoreese.net/
Lindsay Walt,97,1,Fine Art & Photography,Painting,https://www.lindsaywalt.com/
Lorna Simpson Studio dba Shewolf Studio,77,5,Fine Art & Photography,"Photography, High Profile",
Luddite Studio,97,1,Fine Art & Photography,Art studio,https://www.artsy.net/artist/ella-kruglyanskaya
Maria Elena Gonzalez (MEGE Studio),88,3,Fine Art & Photography,"Sculpture, Installation, Conceptual",https://en.wikipedia.org/wiki/Mar%C3%ADa_Elena_Gonz%C3%A1lez
Mark Giglio Studio/Carleen Sheehan Studio,97,8,Fine Art & Photography,"Decorative Painting, Residential Interiors, Commercial Art",https://www.carleensheehan.com/
Mason Nye Murals,97,11,Fine Art & Photography,"Muralist, Decorative Painting, Commercial and Residential",http://www.masonnyemurals.com/
Melissa Dubbin & Aaron S. Davidson Studio,88,3,Fine Art & Photography,"Scuplture, Conceptual, Biological and Mechanical Materials",https://www.dubbin-davidson.com/
Melissa Wagner (Wagner Creative),97,3,Fine Art & Photography,Artist Studio & Boutique marketing agency - focus on women & design,https://www.wagner-creative.com/
Michelle Green Sculpture (Metal Fabrication),140,1,Fine Art & Photography,"Sculpture, Metalwork, Welding",https://michellegreenesculpture.com/
Michelle Rosenberg Design,140,1,Fine Art & Photography,"Sculpture, Object Work",https://michellerosenberg.com/
Millie Benson Projects,77,1,Fine Art & Photography,Painting,https://www.milliebenson.com/
Minku Kim Studio,77,1,Fine Art & Photography,"Painting, Sculpture, Themes - Abstraction",http://minku.kim/
Mojo Wang Illustration,103,1,Fine Art & Photography,"Illustration, Comic Artist",http://mojowang.art/
Mondo Cane (Patrick Parrish Gallery),77,5,Fine Art & Photography,Aritist Rep,https://www.patrickparrish.com/
MoNoCo Design,103,4,Fine Art & Photography,"Ceramics, E-commerce Retail",https://noelcopeland.com/
Myrna Gordon Sculpture,240,6,Fine Art & Photography,"Sculpture, Ceramics",
Nadia Belalia,140,4,Fine Art & Photography,"Object Work, Sculpture, Lighting",https://www.nadiabelalia.com/
Nancy Bowen Studio,97,11,Fine Art & Photography,"Scuplture, Drawing, Public Art",https://nancybowenstudio.com/
Naomi Katz Plotkin,140,1,Fine Art & Photography,Drawing,https://www.naomikatzplotkin.com/
Natalie Frank Studio,77,1,Fine Art & Photography,"Painting, Sculpture, Paper",http://www.natalie-frank.com/
New York Art Conservation,77,12,Fine Art & Photography,"Conservation, Restoration",https://nyartconservation.com/
Nick Golebiewski,140,1,Fine Art & Photography,"Illustration, Painting",
Nicole Cherubini,70,7,Fine Art & Photography,Sculpture,https://www.nicolecherubini.com/
Outloud,86,4,Fine Art & Photography,Art studio,https://www.suzannemcclelland.net/
Pamela Talese Studio,103,1,Fine Art & Photography,Painting,http://www.pamelatalese.com/
Patrick Shoemaker,77,5,Fine Art & Photography,Painting,https://www.annazorinagallery.com/artists/patrick-shoemaker/biography
Pattes de Mouche,103,1,Fine Art & Photography,"Illustration, Childrens Books",https://nina-summer.com/
Paul Campbell Studio,86,1,Fine Art & Photography,Painting,http://www.paulcampbellstudio.com/
Posterfix Corp,77,3,Fine Art & Photography,"Restoration, Conservation, Poster Art, E-commerce Retail",https://posterfix.myshopify.com/
Prior Pictures,77,1,Fine Art & Photography,Photography,https://thomasprior.com/
Rafael Ramirez,103,1,Fine Art & Photography,"Sculpture, Painting, Product Photography, Lighting Fixtures",
Ralph Summers (Block Society Media),77,1,Fine Art & Photography,"Commercial Art, Photography, Graphic Design",https://www.instagram.com/blocksocietymedia/
Reversible Destiny Foundation,212,8,Fine Art & Photography,"Artist Rep (Shusaku Arakawa and Madeline Gins), Foundation",https://www.reversibledestiny.org/
Robin Sacks Decorative Painting,240,6,Fine Art & Photography,"Decorative Painting, Residential Interiors, Commercial Art",https://robinsacksnyc.com/
Ron Baron Studio,240,1,Fine Art & Photography,"Sculpture, Ceramics",https://www.ronbaron.net/
Sanxia Studio,70,6,Fine Art & Photography,"Painting, Mixed Media",https://www.mutualart.com/Artist/Ting-Yih/C5132AD9ACFD59A2
Sarah Palmer,77,1,Fine Art & Photography,"Painting, Collage, Photography; Faculty at Parsons and SVA",https://sarahpalmer.net/Index
Satoshi Photography,88,1,Fine Art & Photography,Photography,https://www.satoshinyc.com/
Saya Woolfalk Studio,212,1,Fine Art & Photography,"Tech Art, Painting, Installation, High Profile",http://www.sayawoolfalk.com/
Sean Michael Thomas,77,1,Fine Art & Photography,Photography/Videography Studio,https://www.instagram.com/sparkyint/
Servicio Ejecutivo,240,5,Fine Art & Photography,"Painting, Drawing, Collage, Object Work",https://www.tatianaarocha.com/
Seth Orion Schwaiger Studio,212,7,Fine Art & Photography,"Installation, Sculpture",http://sethorionschwaiger.com/
Sharon Horvath,97,2,Fine Art & Photography,Painting,https://sharonhorvath.com/
Slight Breeze,77,1,Fine Art & Photography,"A professional production and creative space serving as a hub for video and photo production, collaborative work and small workshops.",
Stefan Sagmeister,97,3,Fine Art & Photography,"Artist, Designer, Mixed Media, High Profile",https://sagmeister.com/
T. Donnelly,77,3,Fine Art & Photography,"Sculpture, High Profile",https://matthewmarks.com/artists/trisha-donnelly
The Hedda Sterne Foundation,77,3,Fine Art & Photography,"Artist Rep, Foundation",https://heddasternefoundation.org/
Thyra Heder,103,1,Fine Art & Photography,"Illustration, Painting, Childrens Books",http://www.thyraheder.com/
Tyler Matson (Project 3113),77,1,Fine Art & Photography,"Photography, Commercial, Product Photography, Fashion",https://gettyadvance.com/
Vertical Visuals,140,1,Fine Art & Photography,"Aerial and ground photography, video equipment rental",https://www.verticalvisuals.com/about
Wayout Studio,77,2,Fine Art & Photography,"Set design, artist, fabricator",https://wayoutstudio.co/
Whitney Wood Bailey,212,3,Fine Art & Photography,Painting,https://whitneywoodbailey.com/
Yael Ben-Simon,140,1,Fine Art & Photography,"Sculpture, Mixed Media",https://www.yaelbensimon.com/
ZAK Kitnick,86,5,Fine Art & Photography,"Object Work, Photography, Sculpture, Painting, Video Art",https://zakkitnick.com/
Zeph Colombatto Photography,140,1,Fine Art & Photography,"Photography, Commercial Art, Product Photography, Fashion",https://www.zephcolombatto.com/about
Zoe Leonard Studio,140,2,Fine Art & Photography,Photography,https://www.hauserwirth.com/artists/2847-zoe-leonard/
Anchor Light Productions,77,2,Creative Office & Media,"Creative Production Company, Production Talent - Cinematography, Art Direction",https://www.anchorlight.com/
Art for Film,303,6,Creative Office & Media,"Art Rental, Printing, and Framing (small-sized, ready-made frames only)",https://artforfilmnyc.com/
Baton Media,77,1,Creative Office & Media,"Software music collaboration platform for unreleased material, Start-up, Venture-backed",https://www.instagram.com/baton.media/
BK Actors Self-Tape,77,1,Creative Office & Media,"Production Services - Reels, Production Studio Rental, Post Production, Audio & Sound",https://bkactorsselftape.com/
Captain and The Fox,95,3,Creative Office & Media,"Creative Production Company, Commercial, Theatrical, Post Production, Documentary, Platform Design",https://www.captainandthefox.com/
Casual Films,77,23,Creative Office & Media,"Brand Development, Creative Production Company, Commercial, Production Services - Reels, Animation, Satellite office of global firm",https://www.casualfilms.com/
Childhood Dreams,209,3,Creative Office & Media,Recording studio and post production facility,http://www.johnnysound.com/
Climate Town (400 Parts Per Million Productions),77,7,Creative Office & Media,"Production Company, Content Only, Climate and Comedy",https://www.climatetownproductions.com/
Colorway,77,7,Creative Office & Media,Marketing Agency,https://www.colorwayagency.com/
Curve ID,77,14,Creative Office & Media,"Product Design, Industrial Design (close relationship with Smart Design)",http://www.curveid.com/
G&E Multimedia LLC,77,2,Creative Office & Media,,
Giacomo Beletti,240,1,Creative Office & Media,Cinematographer,https://www.giacomobelletti.com/
Giant Town Productions,33,1,Creative Office & Media,Production Talent - Production Manager,https://www.imdb.com/name/nm0080521/
Juice Groove Films,77,2,Creative Office & Media,"Creative Production Company, Equipment Rental, Post Production, Production Talent - Cinematography, Commercial, Documentary",https://juicegroovefilms.com/
Kings County Productions,77,12,Creative Office & Media,"Creative Production Company, Production Talent - Cinematography, Editing, Producing",http://www.kingscountyproductions.nyc/
Konsonant Music + Post (Thoughts in Grey Circles),103,3,Creative Office & Media,"Music composing and supervision for film, TV, and advertising",https://www.konsonant.com/
Lost and Found Props,212,16,Creative Office & Media,Prop Rental House,
LRH212 Studio,77,3,Creative Office & Media,"We work with emerging and established brands, designers and institutions to connect people, products and ideas.",https://lydiahummel.com/
Malin Ericson Studio,77,1,Creative Office & Media,"Brand Development, Package Design, Exhibition Design, Commercial",https://www.malinericsonstudio.com/
Method Media,77,1,Creative Office & Media,"Creative Production Company, Production Talent - Cinematography, Editing, Producing",http://methodkc.com/
Moonland.tv (Iscaro's Moon Land LLC.),77,11,Creative Office & Media,"Creative Production Company, Commercial, Post Production, Production Talent - Editing, Producing, Post",https://www.moonland.tv/
Peter M Murray INC ,77,1,Creative Office & Media,Writing studio for music composer for film and television,https://petermmurray.com/
Red Summer TV,77,4,Creative Office & Media,"Creative Production Company, Production Studio Rental, Music Videos, Commercial",http://redsummertv.com/
Reelarc,77,1,Creative Office & Media,"Production Services - Reels, Brand Development",https://www.reelarc.com/
Shared Studios,100,5,Creative Office & Media,"&Hardware, Software, & Design Engineering, Experience Design, Interactive",https://www.sharedstudios.com/
Shattered Prism LLC,212,2,Creative Office & Media,"Distributor, Rental, and Servicer of low-emissions (uses battery, not gas or diesel) portable power stations for film, events, disaster relief, and construction sites",https://www.shattered-prism.com/
Smart Design,216,65,Creative Office & Media,"Product Design, Industrial Design, 3D Printing, High quanitity of prototypes produced on-site",https://smartdesignworldwide.com/
Studio Hansraj,"103,140",2,Creative Office & Media,"Production & Set Design, Art Design, Commercial, Film and TV, Fashion",https://www.studiohansraj.com/
TCS Technological Cinevideo Services,77,41,Creative Office & Media,"Equipment Rental for Film, TV, Events",https://tcsfilm.com/
The Sodium Ranch,88,7,Creative Office & Media,"Production Equipment Rental, Grip & Electric, Lighting, Lighting Design Services",http://www.thesodiumranch.com/
Tinygiant,209,205,Creative Office & Media,"Creative Production Company, Commercial, Film and TV",https://tinygiant.tv/
Tonic Group,77,8,Creative Office & Media,"Marketing Agency, Graphic Design, Brand Development, Package Desing, Art Direction, Photography, Short Content Creator, Commercial",https://www.tonicgroup.com/
VS+Company (Vanessa Stevens and Co.),77,5,Creative Office & Media,"Artist Rep, Photography Printing and Post Production",https://www.vsandcompany.com/
Wavelength Productions,212,6,Creative Office & Media,"Creative Production Company, Film, Commercial, Documentary, High Profile - Jennifer Westphal ",https://www.wavelengthproductions.com/
We are A Studio,77,5,Creative Office & Media,"Creative Director, Branding, Product Design, Package Design",https://wearea.studio/
Yello Studio NYC LCC,"212,240",12,Creative Office & Media,"Production Studio Rental, Equipment Rental",https://www.yellostudionyc.com/
ADL Distributors Corp,77,5,Other / Professional Services,"Wholesale, Mixed Merchandise?",
Andrew Joshua Meave-Alonso,77,5,Other / Professional Services,Unknown,https://www.laracallahan.com/
AP Distri,77,1,Other / Professional Services,"Warehousing, Mixed Merchandise?",https://www.linkedin.com/in/pinnie-fisch-111506159/
Area Props NYC,77,2,Other / Professional Services,Prop Rental House,https://www.areapropsnyc.com/store/c1/Featured_Products.html
Best Service USA Corp.,88,30,Other / Professional Services,"Warehousing, Mixed Merchandise",https://www.linkedin.com/in/tsvi-fradman-674a3234/
Brand's Payroll Inc,98,40,Other / Professional Services,Payroll Processing Service,https://www.brandspaycheck.com/
Favor Parts,77,1,Other / Professional Services,"Event Planning, Themed Events",https://www.favorparts.com/
Fun Corporate Magic,77,1,Other / Professional Services,"Magician, Event Services",https://magicianmatias.com/
Funding Forward,77,30,Other / Professional Services,"Institutional Capital (Govt Programs, Tax Credits+) Consultant",https://fundingforward.com/
GFD Courier Corporation,33,28,Other / Professional Services,Courier Service,https://www.gfdcourier.com/
Gradient,100,1,Other / Professional Services,Heat Pumps,https://gradientcorp.com/
Herrera Print,77,1,Other / Professional Services,Unknown,
Hodge Inc,100,1,Other / Professional Services,Food Waste Recycling,https://hodge.earth/
Jan P Joachim PC (Joachim Realty LLC),77,1,Other / Professional Services,"Attorney, Canada-US Immigration and Real Estate Specialist",https://www.joachimlawpc.com/
Pull City (Apeman Technologies),100,5,Other / Professional Services,B2B Platform for Campuses; Inventory Management Software,https://pull.city/
RE Tax Service,77,6,Other / Professional Services,Real Estate Tax Consultant,https://www.retaxservice.com/
Resolution Audio Video dba Stereobuyers,212,13,Other / Professional Services,"Design and install smart home systems. Buy, sell and restore vintage hifi equipment. Manufacture audio cables.",https://resolutionavnyc.com/?srsltid=AfmBOoqnD8hhpS1AlBfyeIZCdGhkC42OpCgMA8CUDrGt1VBxZm0jYpSd
Royal Supply Company,88,12,Other / Professional Services,"Wholesale, Mixed Merchandise",https://www.dnb.com/business-directory/company-profiles.royal_supply_co.cd35af8beb11d2302749a0498910c171.html
Schwimmer & Meisels,88,70,Other / Professional Services,"Warehousing, Mixed Merchandise",https://www.nycompanyregistry.com/companies/schwimmer-meisels-corp/
SJT Consultants LLC,77,1,Other / Professional Services,"E-Commerce Director, Buyer, and Production Manager, B2B and D2C sales consulting services, Textiles, Apparel, and Home Goods",https://www.sjtconsultingservices.com/
Systech,303,9,Other / Professional Services,"IT Services Consultant, Cybersecurity, Cloud solutions, Business process Automation",https://systechmsp.com/
Turnstile Tours,240,8,Other / Professional Services,"Tours, B Corp",https://turnstiletours.com/
Twelve Point (Bill Malchow),77,1,Other / Professional Services,"Jazz Musicican, Pianist and Vocalist, Available for Bookings (with the Bill Malchow Trio) ",https://www.billmalchow.com/
5TEN,77,6,"""Hardware, Software, & Design Engineering""","LED Lighting project management, prototyping, and technical execution",https://www.510visuals.com/
Actasys,212,5,"""Hardware, Software, & Design Engineering""",Prototyping and manufacturing of ultracompact air blowers,
Algoma,100,1,"""Hardware, Software, & Design Engineering""",Proptech Software for Zero Emissions Buildings Real Estate Development,https://www.algoma.co/
Alterlab LLC (Graph Commons),212,1,"""Hardware, Software, & Design Engineering""","Software Platform for Data Mapping and Visualization, AI",https://graphcommons.com/
AmbienTech,240,2,"""Hardware, Software, & Design Engineering""",Design and Fabrication Lighting Dimmer Connected Software and Devices/Smart Tech,https://www.ambientechinc.com/
Appliedxl,100,1,"""Hardware, Software, & Design Engineering""",AI/Data science; Prototyping & Tech,https://www.appliedxl.com/
AV&C,303,25,"""Hardware, Software, & Design Engineering""","Architectural Digital Installations, Experience Design, Interactive, Commercial",https://www.av-controls.com/
Botblox,86,4,"""Hardware, Software, & Design Engineering""",Printed circuit board assembly,https://botblox.io/?gad_source=1&gad_campaignid=21839017854&gbraid=0AAAAADL4EY3MKwuakZQ7Q67-dzIZ3xntE&gclid=Cj0KCQiAo4TKBhDRARIsAGW29bdx9FLJVJ6z-BR4IQ_n_s9Vk_AkEYwfyXs9UtT_ZrY5imwTToCK1OMaAqo7EALw_wcB
"BPL R & D, LLC (Brower Propulsion Laboratory)",140,1,"""Hardware, Software, & Design Engineering""","Design and Fabrication for Designers, Engineers, Scientists, and Artists, Specialty - Rapid Prototyping",https://browerproplab.com/
Easy Aerial,77,30,"""Hardware, Software, & Design Engineering""",Military-grade drones for surveillance and inspection,https://www.easyaerial.com/
Enody,77,1,"""Hardware, Software, & Design Engineering""",LED lighting design and manufacturing,https://www.instagram.com/enody.lighting/
Fidelity Payment Services,77,50,"""Hardware, Software, & Design Engineering""",Payment Processing Software and Devices (POS Systems),https://www.fidelitypayment.com/
FOAM,"33,88,366",11,"""Hardware, Software, & Design Engineering""","Geolocation Services; 3x Yard Lab Licenses B 292, 313, 3; former Newlab Member",https://foam.space/
FotoFoto,140,3,"""Hardware, Software, & Design Engineering""","Upcycled ""disposable"" cameras",https://fotofoto.io/
Fraiche,100,1,"""Hardware, Software, & Design Engineering""",Food Distribution - Newlab,https://fraiche.io/
Frio Controls (AEF Ice Systems),77,3,"""Hardware, Software, & Design Engineering""","Proptech Software, Smart Heat Systems Monitoring",https://www.frio.co/
HUSH Studios,77,20,"""Hardware, Software, & Design Engineering""","Experience Design, Interactive, Art Direction, Brand Development, Creative Production Company, UI/UX, Software Development",https://heyhush.com/
KFX Technology,77,7,"""Hardware, Software, & Design Engineering""","Manufacturer of camera remote heads and motorized track systems for Film, TV",https://www.kfxtechnology.com/
Light,100,1,"""Hardware, Software, & Design Engineering""",Smartphone/Hardware,https://www.thelightphone.com/
Manifold Robotics,100,1,"""Hardware, Software, & Design Engineering""","Drones/Robots, Hardware",https://www.manifoldrobotics.com/
Nanotronics Industrial LLC (CubeFabs),"88,303",110,"""Hardware, Software, & Design Engineering""",Automated optical microscopy inspection systems with applications across advanced industry and manufacturing,https://nanotronics.co/
Near Space Labs (Swiftera),77,4,"""Hardware, Software, & Design Engineering""","High Resolution Geospatial Imaging using Zero-Emissions Atmospheric Robots, Technology Design and Development on-site",https://nearspacelabs.com/
Nextiles,100,1,"""Hardware, Software, & Design Engineering""",Materials Innovation; Performance Tech; Fabric,https://www.nextiles.tech/
Nycap3d,77,4,"""Hardware, Software, & Design Engineering""","AR/VR/XR production, CGI animation",https://www.nycap3d.com/
Outsnapped.com,140,46,"""Hardware, Software, & Design Engineering""","Design and fabrication of custom photo booths and software, Photo Booth Rentals for Events",https://outsnapped.com/
Physical Synthesis,100,8,"""Hardware, Software, & Design Engineering""",Rapid prototyping (RDFM) for sound design products,https://www.physical-synthesis.com/
Pliant Energy Systems LLC,140,7,"""Hardware, Software, & Design Engineering""","Design and Prototyping of Underwater Robot for Aquatic Monitoring, Renewable Energy Research, Yard Labs Pilot",https://www.pliantenergy.com/
Potion Design,77,1,"""Hardware, Software, & Design Engineering""","Experience Design, Interactivity, AR, VR",https://www.potiondesign.com/
Radical AI,218,34,"""Hardware, Software, & Design Engineering""",Research and development as it relates to materials science.,https://www.radical-ai.com/
Reflex Robotics (Timeback),77,11,"""Hardware, Software, & Design Engineering""","Robotics, Humanoid",https://www.reflexrobotics.com/
Replit,77,6,"""Hardware, Software, & Design Engineering""", Replit is a browser-based development platform that lets users write, test, and deploy code with built-in AI and real-time collaboration.,https://replit.com/
Revivn,77,46,"""Hardware, Software, & Design Engineering""","Electronics Recycling and Refurbishment, B Corp, Founder Speaker",https://www.revivn.com/
Shimmy Technologies,100,1,"""Hardware, Software, & Design Engineering""","&Professional Services, &Apparel & Accessory, Workforce Development",https://shimmy.io/
SnoFox Sciences,100,11,"""Hardware, Software, & Design Engineering""",Software; Digital twin for cold storage,https://www.snofox.com/
Teknikio,100,4,"""Hardware, Software, & Design Engineering""","Edtech, Toys",https://www.teknikio.com/
Vecna Robotics,100,1,"""Hardware, Software, & Design Engineering""",Dark Warehouse Robotics,https://www.vecnarobotics.com/
Viventium Software,212,20,"""Hardware, Software, & Design Engineering""",Payroll and HR Software for Health Services,https://www.viventium.com/
Vycarb,100,6,"""Hardware, Software, & Design Engineering""","Carbon capture for water: drop-in water treatment system to measure water carbon cycle, detect excess CO2, and ""dose"" water to allow it store CO2 ",https://www.vy-carb.com/
Waverly Labs,100,1,"""Hardware, Software, & Design Engineering""",&Professional Services; Translation Software/App,https://www.waverlylabs.com/
