Account Name,Building (New Naming Convention),# of Employees cop,Industry,Description,Website
Circle Studio,212,4,Furniture & Home Goods,"Window treatments for residential, commercial, and film clients",
dform design,86,4,Furniture & Home Goods,Lighting Fixtures and Screens,https://dformdesign.com/
Double R Design,77,2,Furniture & Home Goods,Interior design and furniture design,https://doublerdesign.net/
Egg Collective,86,33,Furniture & Home Goods,"Tables, Seating, Lighting, Rugs, Storage, Small Home Goods, Designer Rep",https://www.eggcollective.com/
Emme Essentials,77,1,Furniture & Home Goods,"Home Fragrance, Candles, Non-toxic, E-commerce Retail",https://emmenyc.com/
Eny Lee Parker,77,1,Furniture & Home Goods,"Spatial (interior) designer of objects, furniture, and lighting; frequent medium: clay",https://www.enyleeparker.com/
European Arts Design,88,1,Furniture & Home Goods,"Tablecloths, Handtowels",https://www.finetablecloths.com/
Evan Z. Crane,88,4,Furniture & Home Goods,Woodworking & Metal Fabrication,https://www.evanzcrane.com/
F. Schumacher & Co.,77,16,Furniture & Home Goods,"Artisanal small-batch
wallpaper and textiles and Design Studio",https://fschumacher.com/
Guilad Office of Design dba Good Office of Design,140,3,Furniture & Home Goods,"Ceramic home goods, Industrial Materials Design Resarch Studio, Sustainable",https://www.goodofficeofdesign.com/
Haining Made LLC,86,1,Furniture & Home Goods,"Woodworking, Lighting, Objects, Small Furniture",https://www.richardhaining.com/
Haptic Lab,212,4,Furniture & Home Goods,"Soft Goods, Textiles, Quilts, B Corp, E-commerce Retail",https://www.hapticlab.com/
Hollow Metal Factory Outlet Inc dba Doormart USA,360,1,Furniture & Home Goods,Door Distributor,https://www.doormartusa.com/
Hospitality Openings,292,,Furniture & Home Goods,Supplier of Hotel Doors and Entryway Hardware, http://www.hopenings.com/
IP Woodwork aka Palo Samko,88,5,Furniture & Home Goods,Wood Furniture,http://www.palosamko.com/
Karol Cylwik Woodworking,88,5,Furniture & Home Goods,Wood Furniture,https://www.facebook.com/p/Karol-Cylwik-Woodworking-100066756853340/
Leon McKay and Francesca Pecchenino D/B/A Saint Leo,86,,Furniture & Home Goods,,https://www.saintleo.co/about
Leopold Strulovic aka City View Blinds,77,1,Furniture & Home Goods,Window treatments?,https://www.dnb.com/business-directory/company-profiles.city_view_blinds_of_ny_inc.0e7f82c9c0b9488d8fd0095bf9999b94.html
Lit Brooklyn,77,1,Furniture & Home Goods,"Candles, Non-toxic, E-commerce Retail",https://www.powerofgirl.com/denequa-williams
Luxholdups aka Hey Butler LLC,"94,303",6,Furniture & Home Goods,"Small Home Fixtures and Goods, Specialty - Lucite, E-commerce Retail",https://www.etsy.com/shop/LuxHoldups
Ojas,86,4,Furniture & Home Goods,"Audio Equipment, Speakers, Manufacturing through modification, Audiophile distribution",https://ojas.nyc/
Ori Living,212,11,Furniture & Home Goods,"Design and prototyping of robotic furniture and systems for interiors, Satellite office of national firm",https://www.oriliving.com/
Osprey Studio,240,1,Furniture & Home Goods,"Ceramic Goods, Furniture Design and Architect, Sustainable",https://biancosplanco.com/
Pagani Studio,140,10,Furniture & Home Goods,Lighting Fixtures,http://paganistudio.com/
Paula Rubenstein,209,1,Furniture & Home Goods,"Sales and Restoration, Textiles and Small Antiques",https://goop.com/place/new-york/new-york-city/noho-shops/paula-rubenstein/
Poritz & Studio,77,3,Furniture & Home Goods,"Wood Furniture, Ceramics, Sculpture, E-commerce Retail",https://aaronporitz.com/
Robert Martin Designs INC,280,,Furniture & Home Goods,Wood Furniture, https://www.rmdfurniture.com/
RockPaperRobot,100,1,Furniture & Home Goods,Chairs,https://rockpaperrobot.com/
S&G Fine Chair Collection,88,9,Furniture & Home Goods,"Custom Finishing and Upholstery, Dining Room Chairs and Benches",http://sgfinechair.com/
Scott Jordan Furniture,140,8,Furniture & Home Goods,"Sofa Beds, Bed Frames, Custom Cabinetry",https://www.scottjordan.com/
SIN aka Virgina Sin Enterprises,77,12,Furniture & Home Goods,"Ceramic and Clay Decor and Tableware, E-commerce Retail",https://virginiasin.com/
Skilset,86,9,Furniture & Home Goods,"Wood, Plaster Fixtures and Decor",https://skilset.net/
Stanton Nichols Manufacturing,88,5,Furniture & Home Goods,Woodworking,http://www.stantonnicholsmfg.com/
Steph Mantis,86,2,Furniture & Home Goods,"Specialty Themed Small Goods, Pizza Art, Microscope Art, E-commerce Retail",https://stephmantis.com/
Stitch NYC,88,13,Furniture & Home Goods,Custom Finishing and Upholstery,https://stitchnycinc.com/about
Stitchroom,303,18,Furniture & Home Goods,Custom Finishing and Upholstery,https://www.stitchroom.com/
The Sealab,88,6,Furniture & Home Goods,"Interior millwork, cabinets and furniture",https://www.thesealab.com/
Tom Edmonds,88,21,Furniture & Home Goods,Wood Furniture and Decor,https://www.instagram.com/tomredmonds/?hl=en
Triple J Bedding aka Ruckel Mfg. Co.,88,11,Furniture & Home Goods,Institutional bedding manufacturer and wholesale distributor,
Turntable Lab,88,30,Furniture & Home Goods,"Records, Audio Equipment, Record and Audio Storage Equipment, E-commerce Retail",https://www.turntablelab.com/
UBR Studio,77,2,Furniture & Home Goods,Architectural Home Objects,https://ubrstudio.com/
Uppeal LLC,303,4,Furniture & Home Goods,"Prototyping, production and fulfillment of adjustable height desks",https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.uppealdesign.com%2F%3Ffbclid%3DIwZXh0bgNhZW0CMTAAYnJpZBExa2FkQkxFa2hMemtnb25kcAEe--OeZev9ASFmL04r8VR4Qz_yBp1LnUMo5b6S2z1gI1zNG0LtIP7E2c36fY4_aem_qQP5Np8YCeVrjkaUTNQ0PA&h=AT0TT2ceWM4j2YiyjkZvo4G1o0VAHa6bK3iirwLX9ULFBK8398RRpUeYWiglupFe3L35QQDw7WjETbFMi9gKDblVwbF7iPnSvPO2n3YgV8NesBP8aFmNxgCO4KvTECMHml8
Waxwing Studio,86,1,Furniture & Home Goods,"Woodworking, Freestanding Furniture",https://www.seekingwaxwing.com/
Work at Hand,77,2,Furniture & Home Goods,"Wood Furniture, Decor, E-commerce Retail",https://www.workathand.nyc/
Ziptech Office Solutions,240,2,Furniture & Home Goods,Office Supplies,https://opencorporates.com/companies/us_ny/4015571
Empire Medical Supplies aka Empire Dental Supplies,88,1,Healthcare,"Dental & Medical Supplies, Some Service and Repair",https://www.empiredentalsupplies.com/
NYOrtho aka NY Orthopedic USA,140,50,Healthcare,"Safety, positioning, pressure relief, and erogonomic products for rehab and wheelchair use",https://www.nyorthousa.com/
Ponto Care,100,1,Healthcare,"Medical, Exams",https://www.ponto.care/
Sherman Abrams Laboratory,33,150,Healthcare,Clinical diagnostic laboratory services,https://shermanabrams.com/
Woodley Equipment Company,212,5,Healthcare,"Supplier and Servicer of Medical, Lab Diagnostics, and Veterinary Equipment",https://www.woodleyequipment.com/
Cosmopro Corp.,88,3,Beauty & Personal Care,Wholesale of cosmetic goods,https://www.cosmoprofbeauty.com/
D.S. & Durga,77,18,Beauty & Personal Care,"Perfume & Perfumed Lotion, Candles, E-commerce Retail",https://www.dsanddurga.com/
Everyday Group dba Noah Storage,88,25,Beauty & Personal Care,"Food, Beauty, Some Home Goods",
Homeio LLC,,,Beauty & Personal Care,Dietary Supplements,
Naturisme Cosmetics,209,3,Beauty & Personal Care,Product development and small unit production of cosmetics,https://naturismecosmetics.com/?srsltid=AfmBOorRf7aAhO6Hd2qs_qwmvAsTgP2MsrOfFxY_Egibm-zeaUXEv4CW
Next Step Lab,212,13,Beauty & Personal Care,"Chemical Formulations for Hair Care, Body Care, Face Care, Cosmetics, Sunscreen",https://www.nextsteplab.com/
Scully's Wonderful Stuff,240,6,Beauty & Personal Care,"Deodorant, Sanitizer, Organic, E-commerce Retail",https://scullyswonderfulstuff.com/
